time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
1668.000,0.00,6.250,6.461,12.5261,84.6267,85.7784,82.8277,84.6607,12.5402
1669.000,0.00,6.250,6.436,12.5321,84.6172,85.7697,82.8189,84.6359,12.5392
1670.000,0.00,6.250,6.436,12.5510,84.6076,85.7610,82.8102,84.6259,12.5384
1671.000,0.00,6.250,6.251,12.5579,84.5981,85.7523,82.8015,84.8541,12.5482
1672.000,0.00,6.250,6.353,12.5348,84.5886,85.7436,82.7928,84.8083,12.5447
1673.000,0.00,6.250,6.436,12.5357,84.5790,85.7349,82.7842,84.6272,12.5371
1674.000,0.00,6.250,6.351,12.5515,84.5695,85.7262,82.7754,84.6954,12.5401
1675.000,0.00,6.250,6.444,12.5351,84.5600,85.7175,82.7668,84.5026,12.5320
1676.000,0.00,50.000,50.143,11.9439,84.5501,85.7085,82.7577,84.6178,11.9456
1677.000,0.00,50.000,50.197,11.9100,84.4726,85.6391,82.6883,84.1920,11.9084
1678.000,0.00,50.000,50.012,11.8852,84.3951,85.5697,82.6189,84.1825,11.8895
1679.000,0.00,50.000,50.190,11.8801,84.3176,85.5002,82.5495,84.0527,11.8627
1680.000,0.00,50.000,50.214,11.8323,84.2401,85.4308,82.4801,83.9809,11.8407
1681.000,0.00,50.000,49.990,11.8314,84.1627,85.3614,82.4106,83.9399,11.8239
1682.000,0.00,50.000,50.177,11.7839,84.0852,85.2920,82.3412,83.7767,11.7982
1683.000,0.00,50.000,50.134,11.7582,84.0077,85.2226,82.2718,83.6003,11.7760
1684.000,0.00,31.250,31.300,12.0281,83.9303,85.1533,82.2025,83.6381,12.0154
1685.000,0.00,31.250,31.335,11.9949,83.8827,85.1097,82.1589,83.4938,12.0041
1686.000,0.00,31.250,31.355,12.0104,83.8350,85.0660,82.1152,83.6306,12.0026
1687.000,0.00,31.250,31.273,12.0008,83.7873,85.0223,82.0716,83.5149,11.9943
1688.000,0.00,31.250,31.384,11.9793,83.7396,84.9786,82.0279,83.4274,11.9846
1689.000,0.00,31.250,31.503,11.9912,83.6919,84.9349,81.9842,83.5444,11.9818
1690.000,0.00,31.250,31.303,11.9787,83.6442,84.8912,81.9404,83.2483,11.9697
1691.000,0.00,31.250,31.252,11.9658,83.5966,84.8475,81.8968,83.3004,11.9676
1692.000,0.00,31.250,31.449,11.9637,83.5489,84.8038,81.8530,83.3624,11.9627
1693.000,0.00,31.250,31.366,11.9553,83.5012,84.7600,81.8093,83.1475,11.9524
1694.000,0.00,31.250,31.381,11.9607,83.4535,84.7163,81.7656,83.1279,11.9477
1695.000,0.00,31.250,31.317,11.9417,83.4058,84.6726,81.7219,83.1352,11.9451
1696.000,0.00,31.250,31.379,11.9473,83.3581,84.6290,81.6782,83.0240,11.9370
1697.000,0.00,31.250,31.295,11.9383,83.3105,84.5853,81.6345,82.9557,11.9325
1698.000,0.00,31.250,31.247,11.9324,83.2628,84.5417,81.5909,82.8063,11.9250
1699.000,0.00,31.250,31.314,11.9095,83.2151,84.4980,81.5472,82.9419,11.9256
1700.000,0.00,31.250,31.508,11.9162,83.1674,84.4543,81.5035,82.6977,11.9120
1701.000,0.00,31.250,31.509,11.9311,83.1197,84.4105,81.4598,82.9010,11.9163
1702.000,0.00,31.250,31.308,11.8900,83.0720,84.3668,81.4161,82.5718,11.9053
1703.000,0.00,31.250,31.239,11.9103,83.0244,84.3231,81.3724,82.5198,11.9024
1704.000,0.00,31.250,31.417,11.9165,82.9767,84.2794,81.3287,82.5383,11.8985
1705.000,0.00,31.250,31.481,11.9052,82.9290,84.2358,81.2850,82.5837,11.8971
1706.000,0.00,31.250,31.525,11.8897,82.8813,84.1920,81.2413,82.4218,11.8890
1707.000,0.00,31.250,31.237,11.8854,82.8336,84.1483,81.1976,82.4448,11.8919
1708.000,0.00,-12.500,-12.308,12.4971,82.7863,84.1049,81.1541,82.4598,12.4785
1709.000,0.00,-12.500,-12.319,12.5187,82.8053,84.1218,81.1711,82.8468,12.5118
1710.000,0.00,-12.500,-12.346,12.5384,82.8244,84.1388,81.1881,82.7871,12.5293
1711.000,0.00,-12.500,-12.444,12.5494,82.8435,84.1558,81.2051,82.8032,12.5495
1712.000,0.00,-12.500,-12.285,12.5519,82.8626,84.1728,81.2221,82.7608,12.5635
1713.000,0.00,-12.500,-12.321,12.5781,82.8816,84.1899,81.2391,82.7717,12.5814
1714.000,0.00,-12.500,-12.246,12.5969,82.9007,84.2068,81.2561,82.9674,12.6033
1715.000,0.00,-12.500,-12.460,12.6196,82.9198,84.2238,81.2731,82.9551,12.6213
1716.000,0.00,12.500,12.770,12.2997,82.9387,84.2408,81.2900,83.1105,12.3008
1717.000,0.00,12.500,12.648,12.2817,82.9196,84.2229,81.2721,82.7008,12.2906
1718.000,0.00,12.500,12.584,12.2828,82.9005,84.2050,81.2543,82.6168,12.2905
1719.000,0.00,12.500,12.735,12.2917,82.8815,84.1871,81.2364,82.7600,12.2952
1720.000,0.00,12.500,12.740,12.3044,82.8624,84.1692,81.2185,82.8243,12.2992
1721.000,0.00,12.500,12.657,12.3084,82.8433,84.1514,81.2006,82.6417,12.2958
1722.000,0.00,12.500,12.702,12.3085,82.8242,84.1335,81.1827,82.6225,12.2963
1723.000,0.00,12.500,12.688,12.3113,82.8052,84.1156,81.1648,82.6736,12.2999
