time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
59.000,26.33,50.000,50.886,12.0232,99.4061,99.3354,98.0658,100.5366,11.7602
60.000,29.17,50.000,50.954,11.9979,99.3369,99.2650,97.9955,100.4651,11.7490
61.000,32.00,20.100,21.003,12.3943,99.2680,99.1949,97.9253,100.3938,12.1436
62.000,32.00,20.100,21.079,12.3981,99.2406,99.1660,97.8964,100.9814,12.2029
63.000,32.00,20.100,20.974,12.3782,99.2132,99.1370,97.8674,100.9528,12.2091
64.000,32.00,20.100,21.063,12.3959,99.1858,99.1079,97.8383,100.9242,12.2125
65.000,32.00,20.100,20.941,12.3847,99.1583,99.0789,97.8094,100.8956,12.2186
66.000,32.00,20.100,20.961,12.3746,99.1309,99.0500,97.7804,100.8670,12.2226
67.000,32.00,20.100,21.068,12.3981,99.1035,99.0210,97.7514,100.8384,12.2251
68.000,32.00,20.100,20.845,12.3943,99.0761,98.9920,97.7224,100.8097,12.2320
69.000,32.00,20.100,21.040,12.3944,99.0487,98.9630,97.6934,100.9800,12.2774
70.000,32.00,20.100,20.912,12.3865,99.0212,98.9339,97.6643,101.0000,12.3544
71.000,32.00,20.100,20.964,12.3806,98.9938,98.9049,97.6353,101.0000,12.3704
72.000,32.00,20.100,20.881,12.3538,98.9664,98.8760,97.6064,100.8014,12.3706
73.000,32.00,20.100,21.069,12.3550,98.9390,98.8470,97.5774,100.7098,12.3652
74.000,32.00,20.100,20.891,12.3702,98.9116,98.8180,97.5484,100.9100,12.3743
75.000,32.00,20.100,21.106,12.3471,98.8842,98.7890,97.5195,100.7948,12.3674
76.000,32.00,20.100,20.905,12.3808,98.8567,98.7601,97.4905,100.7401,12.3677
77.000,32.00,20.100,20.949,12.3778,98.8293,98.7311,97.4615,100.8621,12.3694
78.000,32.00,20.100,21.007,12.3620,98.8019,98.7020,97.4324,100.4928,12.3581
79.000,32.00,20.100,20.892,12.3391,98.7745,98.6730,97.4034,100.4979,12.3590
80.000,32.00,20.100,21.101,12.3617,98.7471,98.6440,97.3744,100.4546,12.3543
81.000,32.00,20.100,21.051,12.3543,98.7196,98.6150,97.3454,100.4289,12.3537
82.000,32.00,20.100,20.917,12.3386,98.6922,98.5860,97.3164,100.1455,12.3473
83.000,32.00,20.100,21.067,12.3380,98.6648,98.5570,97.2874,100.3315,12.3498
84.000,32.00,20.100,20.903,12.3630,98.6374,98.5280,97.2584,100.1932,12.3478
85.000,32.00,-28.178,-27.280,13.0207,98.6103,98.4994,97.2298,100.4352,13.0046
86.000,29.09,-26.129,-25.199,12.9992,98.6481,98.5360,97.2664,100.6844,13.0068
87.000,26.18,-23.934,-23.008,13.0022,98.6828,98.5695,97.2999,100.6640,12.9980
88.000,23.27,-21.607,-20.615,12.9981,98.7144,98.6000,97.3304,100.8727,12.9916
89.000,20.36,-19.163,-18.406,12.9873,98.7428,98.6271,97.3575,100.5770,12.9729
90.000,17.45,-16.616,-15.711,12.9473,98.7676,98.6507,97.3811,100.7081,12.9556
91.000,14.55,-13.981,-13.165,12.9375,98.7889,98.6707,97.4012,100.7131,12.9349
92.000,11.64,-11.273,-10.268,12.9240,98.8064,98.6870,97.4174,100.6904,12.9067
93.000,8.73,-8.506,-7.754,12.8853,98.8201,98.6995,97.4299,100.7749,12.8849
94.000,5.82,-5.695,-4.845,12.8365,98.8300,98.7082,97.4386,100.4895,12.8453
95.000,2.91,-2.855,-1.921,12.8149,98.8359,98.7129,97.4433,100.7799,12.8204
96.000,0.00,0.000,1.022,12.7846,98.8379,98.7137,93.0782,100.6498,12.7813
97.000,0.00,0.000,0.953,12.7818,98.8379,98.7125,92.0311,100.6943,12.7871
98.000,0.00,0.000,1.023,12.7808,98.8379,98.7113,92.0074,100.6170,12.7873
99.000,0.00,0.000,0.824,12.7965,98.8379,98.7101,92.3613,100.6983,12.7957
100.000,0.00,0.000,0.778,12.7905,98.8379,98.7089,92.6510,100.6966,12.7994
101.000,0.00,0.000,0.981,12.8164,98.8379,98.7077,92.8380,100.6907,12.7995
102.000,0.00,0.000,0.933,12.8049,98.8379,98.7065,93.1504,100.7218,12.8040
103.000,0.00,0.000,0.782,12.7886,98.8379,98.7053,93.0120,100.5162,12.8030
104.000,0.00,0.000,0.757,12.8070,98.8379,98.7041,93.4528,100.6482,12.8101
105.000,0.00,0.000,0.907,12.8115,98.8379,98.7029,93.5417,100.6034,12.8093
106.000,0.00,0.000,0.839,12.8107,98.8379,98.7017,93.7804,100.5854,12.8122
107.000,0.00,0.000,0.955,12.8148,98.8379,98.7005,94.0768,100.6673,12.8155
108.000,0.00,0.000,0.991,12.8212,98.8379,98.6993,94.2339,100.6805,12.8178
109.000,0.00,0.000,0.951,12.8392,98.8379,98.6982,94.5421,100.7532,12.8228
110.000,0.00,0.000,0.847,12.8350,98.8379,98.6970,94.7545,100.7211,12.8253
111.000,0.00,0.000,0.738,12.8369,98.8379,98.6958,95.0737,100.7801,12.8306
112.000,0.00,0.000,0.764,12.8399,98.8379,98.6946,95.3042,100.8458,12.8341
113.000,0.00,0.000,0.884,12.8312,98.8379,98.6934,95.0199,100.5958,12.8266
114.000,0.00,0.000,0.918,12.8148,98.8379,98.6922,95.3205,100.6954,12.8310
115.000,0.00,0.000,0.878,12.8367,98.8379,98.6910,95.6859,100.7755,12.8357
116.000,0.00,0.000,1.009,12.8499,98.8379,98.6898,95.9117,100.9035,12.8396
117.000,0.00,0.000,0.928,12.8194,98.8379,98.6886,95.6315,100.6284,12.8336
118.000,2.50,6.134,6.993,12.7407,98.8336,98.6831,95.6345,100.4708,12.7468
119.000,5.00,12.286,13.055,12.6802,98.8208,98.6691,95.6205,100.7016,12.6692
120.000,7.50,18.475,19.485,12.5887,98.7994,98.6464,95.5978,100.4858,12.5696
121.000,10.00,24.718,25.572,12.4886,98.7694,98.6152,95.5666,100.5281,12.4800
122.000,12.50,31.035,31.963,12.3795,98.7307,98.5753,95.5267,100.3353,12.3761
123.000,15.00,29.164,30.023,12.3768,98.6832,98.5265,95.4780,100.1799,12.3832
124.000,16.82,32.889,33.689,12.3248,98.6401,98.4823,95.4337,100.2573,12.3241
125.000,18.64,36.678,37.559,12.2562,98.5918,98.4327,95.3842,100.0624,12.2522
126.000,20.45,40.539,41.475,12.1683,98.5381,98.3779,95.3293,99.8693,12.1786
127.000,22.27,44.480,45.322,12.1206,98.4791,98.3177,95.2691,99.9758,12.1140
128.000,24.09,48.506,49.370,12.0193,98.4145,98.2519,95.2033,99.5935,12.0298
129.000,25.91,50.000,50.782,11.9994,98.3456,98.1818,95.1333,99.5501,11.9912
130.000,27.73,50.000,50.838,11.9635,98.2765,98.1115,95.0629,99.4925,11.9712
131.000,29.55,50.000,50.865,11.9684,98.2074,98.0412,94.9926,99.5938,11.9573
132.000,31.36,50.000,50.933,11.9183,98.1382,97.9708,94.9223,99.0818,11.9240
133.000,33.18,50.000,50.777,11.9294,98.0691,97.9005,94.8519,99.3788,11.9205
134.000,35.00,50.000,50.744,11.9146,97.9999,97.8302,94.7816,99.2385,11.9018
135.000,36.67,50.000,50.924,11.8891,97.9308,97.7598,94.7113,99.1135,11.8813
136.000,38.33,50.000,50.891,11.8749,97.8617,97.6895,94.6409,99.0984,11.8679
137.000,40.00,50.000,50.937,11.8459,97.7925,97.6192,94.5706,98.8008,11.8449
138.000,41.67,50.000,50.913,11.8329,97.7234,97.5488,94.5003,98.5441,11.8248
139.000,43.33,50.000,50.865,11.8289,97.6542,97.4785,94.4299,98.4872,11.8121
140.000,45.00,50.000,50.772,11.8137,97.5851,97.4082,94.3596,98.6816,11.8085
141.000,46.67,50.000,50.882,11.7789,97.5159,97.3378,94.2893,98.4135,11.7878
142.000,48.33,50.000,50.852,11.7934,97.4468,97.2675,94.2189,98.6063,11.7843
143.000,50.00,45.773,46.756,11.8060,97.3777,97.1972,94.1486,98.3045,11.8201
144.000,50.00,45.773,46.532,11.8003,97.3145,97.1328,94.0842,98.2798,11.8152
145.000,50.00,45.773,46.757,11.8016,97.2513,97.0683,94.0198,98.2208,11.8034
146.000,50.00,45.773,46.593,11.7965,97.1882,97.0039,93.9553,98.0818,11.7946
147.000,50.00,45.773,46.597,11.7734,97.1250,96.9394,93.8909,98.0285,11.7867
148.000,50.00,45.773,46.659,11.7878,97.0618,96.8750,93.8264,98.0707,11.7815
149.000,50.00,45.773,46.637,11.7871,96.9986,96.8105,93.7619,98.1275,11.7780
150.000,50.00,45.773,46.699,11.7556,96.9354,96.7460,93.6975,97.8526,11.7629
151.000,50.00,45.773,46.758,11.7396,96.8722,96.6816,93.6330,97.5664,11.7478
152.000,50.00,45.773,46.508,11.7524,96.8091,96.6171,93.5685,97.6821,11.7504
153.000,50.00,45.773,46.665,11.7592,96.7459,96.5527,93.5041,97.7886,11.7472
154.000,50.00,45.773,46.601,11.7422,96.6827,96.4882,93.4396,97.3929,11.7308
155.000,50.00,-15.357,-14.345,12.5672,96.6199,96.4242,93.3756,97.4847,12.5528
156.000,48.12,-15.660,-14.718,12.6002,96.6414,96.4444,93.3959,97.8989,12.5982
157.000,46.25,-15.862,-14.872,12.6251,96.6629,96.4649,93.4163,98.0008,12.6293
158.000,44.38,-15.968,-15.033,12.6618,96.6854,96.4858,93.4373,98.0734,12.6586
159.000,42.50,-15.980,-15.082,12.6723,96.7080,96.5070,93.4584,98.1135,12.6842
160.000,40.63,-15.904,-15.116,12.7056,96.7307,96.5281,93.4795,98.1796,12.7096
161.000,38.75,-15.743,-14.814,12.7225,96.7524,96.5487,93.5002,98.1165,12.7252
162.000,36.87,-15.500,-14.596,12.7409,96.7738,96.5690,93.5204,98.1452,12.7439
163.000,35.00,23.354,24.147,12.2501,96.7950,96.5890,93.5404,98.2939,12.2455
164.000,35.00,23.354,24.261,12.2219,96.7628,96.5556,93.5071,97.9427,12.2319
165.000,35.00,23.354,24.281,12.2425,96.7306,96.5222,93.4737,97.8732,12.2293
166.000,35.00,23.354,24.198,12.2475,96.6985,96.4889,93.4403,97.8885,12.2309
167.000,35.00,23.354,24.344,12.2344,96.6663,96.4555,93.4069,97.8439,12.2272
168.000,35.00,23.354,24.236,12.2078,96.6341,96.4221,93.3735,97.5446,12.2187
169.000,35.00,23.354,24.113,12.2042,96.6019,96.3887,93.3402,97.5200,12.2196
170.000,35.00,23.354,24.367,12.2369,96.5697,96.3554,93.3068,97.6304,12.2199
171.000,35.00,23.354,24.090,12.2414,96.5375,96.3220,93.2734,97.6164,12.2232
172.000,35.00,23.354,24.102,12.2199,96.5053,96.2886,93.2400,97.5312,12.2204
173.000,35.00,23.354,24.297,12.2268,96.4732,96.2552,93.2067,97.5544,12.2187
174.000,35.00,23.354,24.275,12.2332,96.4410,96.2218,93.1733,97.5755,12.2197
175.000,35.00,23.354,24.280,12.2325,96.4088,96.1885,93.1399,97.6390,12.2220
176.000,35.00,23.354,24.341,12.2246,96.3766,96.1551,93.1065,97.6095,12.2202
177.000,35.00,23.354,24.305,12.2018,96.3444,96.1217,93.0731,97.4194,12.2145
178.000,35.00,-38.659,-37.834,13.0669,96.3126,96.0888,93.0402,97.4547,13.0549
179.000,31.50,-35.521,-34.713,13.0737,96.3642,96.1391,93.0905,97.8300,13.0556
180.000,28.00,-32.153,-31.420,13.0373,96.4112,96.1849,93.1363,97.9739,13.0432
181.000,24.50,-28.581,-27.576,13.0079,96.4534,96.2258,93.1773,97.9797,13.0159
182.000,21.00,-24.830,-23.996,12.9927,96.4905,96.2617,93.2131,98.1037,12.9932
183.000,17.50,-20.926,-19.950,12.9409,96.5223,96.2923,93.2437,98.1030,12.9574
184.000,14.00,-16.894,-16.125,12.9288,96.5485,96.3173,93.2688,97.9919,12.9181
185.000,10.50,-12.760,-11.886,12.8643,96.5691,96.3367,93.2881,98.0167,12.8752
186.000,7.00,-8.549,-7.644,12.8326,96.5839,96.3503,93.3017,98.1500,12.8330
187.000,3.50,-4.287,-3.312,12.7607,96.5928,96.3580,93.3094,97.8335,12.7722
188.000,0.00,0.000,0.828,12.7228,96.5958,96.3598,89.4301,98.0052,12.7279
189.000,0.00,0.000,0.779,12.7449,96.5958,96.3586,87.8253,98.1512,12.7380
190.000,0.00,0.000,0.848,12.7318,96.5958,96.3574,87.4378,97.8679,12.7319
191.000,0.00,0.000,0.804,12.7479,96.5958,96.3562,88.4118,98.2272,12.7486
192.000,0.00,0.000,0.795,12.7447,96.5958,96.3550,88.1885,97.9366,12.7430
193.000,0.00,0.000,0.791,12.7454,96.5958,96.3538,88.7661,98.0881,12.7519
194.000,0.00,0.000,0.921,12.7505,96.5958,96.3526,89.1368,98.1096,12.7545
195.000,0.00,0.000,0.906,12.7620,96.5958,96.3514,89.5896,98.1905,12.7609
196.000,0.00,0.000,1.002,12.7694,96.5958,96.3502,89.5194,98.0435,12.7580
197.000,0.00,0.000,0.833,12.7737,96.5958,96.3490,89.9948,98.0929,12.7651
198.000,0.00,0.000,0.932,12.7730,96.5958,96.3478,90.0601,98.0610,12.7658
199.000,0.00,0.000,0.979,12.7874,96.5958,96.3466,90.3496,98.0971,12.7694
200.000,0.00,0.000,0.732,12.7639,96.5958,96.3454,90.4578,97.9529,12.7708
201.000,0.00,0.000,0.973,12.7616,96.5958,96.3443,90.6918,98.0005,12.7719
202.000,0.00,0.000,0.841,12.7763,96.5958,96.3431,91.3533,98.1788,12.7822
203.000,0.00,0.000,0.867,12.7659,96.5958,96.3419,91.2433,98.0710,12.7808
