time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
59.000,0.00,-6.250,-5.364,12.8781,99.5768,99.5104,98.9769,100.6773,12.5983
60.000,0.00,-6.250,-5.296,12.8811,99.5852,99.5175,98.9840,100.6844,12.6150
61.000,0.00,-6.250,-5.347,12.8930,99.5935,99.5247,98.9912,100.6916,12.6325
62.000,0.00,-6.250,-5.271,12.9064,99.6019,99.5318,98.9983,100.6987,12.6477
63.000,0.00,-6.250,-5.376,12.8957,99.6102,99.5390,99.0055,101.0000,12.7152
64.000,0.00,0.000,0.963,12.8362,99.6185,99.5461,98.6841,101.0000,12.6427
65.000,0.00,0.000,0.841,12.8299,99.6185,99.5449,96.0517,100.9987,12.6535
66.000,0.00,0.000,0.861,12.8247,99.6185,99.5437,95.8422,100.9974,12.6621
67.000,0.00,0.000,0.968,12.8528,99.6185,99.5425,96.0002,100.9961,12.6692
68.000,0.00,0.000,0.745,12.8535,99.6185,99.5413,96.4554,100.9948,12.6804
69.000,0.00,0.000,0.940,12.8580,99.6185,99.5401,96.6401,100.9935,12.6856
70.000,0.00,0.000,0.812,12.8542,99.6185,99.5389,96.8727,100.9920,12.6948
71.000,0.00,0.000,0.864,12.8523,99.6185,99.5377,96.4815,100.9999,12.7759
72.000,0.00,0.000,0.781,12.8294,99.6185,99.5366,96.5265,100.9781,12.8323
73.000,0.00,0.000,0.969,12.8343,99.6185,99.5354,96.5064,100.8594,12.8415
74.000,0.00,0.000,0.791,12.8531,99.6185,99.5342,97.2734,100.9496,12.8556
75.000,0.00,0.000,1.006,12.8335,99.6185,99.5330,97.2334,100.8621,12.8526
76.000,0.00,0.000,0.805,12.8705,99.6185,99.5318,97.2792,100.8977,12.8572
77.000,0.00,0.000,0.849,12.8708,99.6185,99.5306,97.5788,101.0000,12.8612
78.000,0.00,0.000,0.906,12.8581,99.6185,99.5294,97.2122,100.7022,12.8539
79.000,0.00,0.000,0.792,12.8382,99.6185,99.5282,97.3004,100.7644,12.8579
80.000,0.00,6.250,7.251,12.7776,99.6185,99.5270,97.3518,100.7503,12.7714
81.000,0.00,6.250,7.201,12.7695,99.6101,99.5174,97.3422,100.7186,12.7688
82.000,0.00,6.250,7.067,12.7531,99.6018,99.5079,97.3327,100.4740,12.7617
83.000,0.00,6.250,7.217,12.7519,99.5935,99.4984,97.3232,100.7014,12.7636
84.000,0.00,6.250,7.053,12.7764,99.5851,99.4888,97.3136,100.6029,12.7610
85.000,0.00,6.250,7.147,12.7688,99.5768,99.4793,97.3041,100.8120,12.7634
86.000,0.00,6.250,7.180,12.7486,99.5684,99.4698,97.2946,100.6484,12.7564
