time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
68.000,32.00,20.100,20.095,12.3930,98.9652,99.0644,97.4531,101.0000,12.3594
69.000,32.00,20.100,20.290,12.3930,98.9342,99.0361,97.4249,101.0000,12.3779
70.000,32.00,20.100,20.162,12.3850,98.9032,99.0078,97.3966,101.0000,12.3830
71.000,32.00,20.100,20.214,12.3791,98.8723,98.9796,97.3683,100.6490,12.3731
72.000,32.00,20.100,20.131,12.3522,98.8413,98.9514,97.3402,100.4875,12.3697
73.000,32.00,20.100,20.319,12.3534,98.8103,98.9232,97.3119,100.3746,12.3639
74.000,32.00,20.100,20.141,12.3685,98.7793,98.8950,97.2838,100.6959,12.3740
75.000,32.00,20.100,20.356,12.3454,98.7483,98.8668,97.2556,100.5061,12.3659
76.000,32.00,20.100,20.155,12.3790,98.7173,98.8385,97.2273,100.4203,12.3662
77.000,32.00,20.100,20.199,12.3760,98.6863,98.8103,97.1991,100.5127,12.3678
78.000,32.00,20.100,20.257,12.3602,98.6553,98.7820,97.1708,100.1166,12.3564
79.000,32.00,20.100,20.142,12.3372,98.6243,98.7538,97.1425,100.0940,12.3573
80.000,32.00,20.100,20.351,12.3597,98.5933,98.7255,97.1143,100.0238,12.3526
81.000,32.00,20.100,20.301,12.3523,98.5623,98.6973,97.0861,99.9719,12.3519
82.000,32.00,20.100,20.167,12.3365,98.5313,98.6690,97.0578,99.6638,12.3454
83.000,32.00,20.100,20.317,12.3359,98.5003,98.6408,97.0296,99.8242,12.3479
84.000,32.00,20.100,20.153,12.3608,98.4693,98.6126,97.0013,99.6618,12.3458
85.000,32.00,-28.178,-28.030,13.0186,98.4387,98.5847,96.9735,99.8792,13.0026
86.000,29.09,-26.129,-25.949,12.9971,98.4806,98.6222,97.0110,100.1072,13.0048
87.000,26.18,-23.934,-23.758,13.0001,98.5192,98.6568,97.0456,100.0679,12.9961
88.000,23.27,-21.607,-21.365,12.9961,98.5543,98.6883,97.0771,100.2920,12.9899
89.000,20.36,-19.163,-19.156,12.9853,98.5858,98.7165,97.1052,100.0505,12.9712
90.000,17.45,-16.616,-16.461,12.9454,98.6135,98.7411,97.1299,100.1582,12.9539
91.000,14.55,-13.981,-13.915,12.9356,98.6370,98.7622,97.1510,100.1433,12.9331
92.000,11.64,-11.273,-11.018,12.9221,98.6565,98.7796,97.1684,100.1018,12.9050
93.000,8.73,-8.506,-8.504,12.8834,98.6718,98.7931,97.1819,100.1670,12.8832
94.000,5.82,-5.695,-5.595,12.8347,98.6827,98.8029,97.1916,99.8638,12.8436
95.000,2.91,-2.855,-2.671,12.8131,98.6893,98.8086,97.1974,100.1353,12.8187
96.000,0.00,0.000,0.272,12.7828,98.6915,98.8104,93.4063,99.9871,12.7796
97.000,0.00,0.000,0.203,12.7800,98.6915,98.8104,91.9429,100.0139,12.7854
98.000,0.00,0.000,0.273,12.7790,98.6915,98.8104,91.8686,99.9192,12.7856
99.000,0.00,0.000,0.074,12.7947,98.6915,98.8104,92.2164,99.9833,12.7940
100.000,0.00,0.000,0.028,12.7886,98.6915,98.8104,92.5053,99.9649,12.7977
101.000,0.00,0.000,0.231,12.8146,98.6915,98.8104,92.6921,99.9428,12.7978
102.000,0.00,0.000,0.183,12.8031,98.6915,98.8104,93.0045,99.9579,12.8023
103.000,0.00,0.000,0.032,12.7868,98.6915,98.8104,92.8662,99.7504,12.8014
104.000,0.00,0.000,0.007,12.8052,98.6915,98.8104,93.3070,99.8657,12.8083
105.000,0.00,0.000,0.157,12.8097,98.6915,98.8104,93.3958,99.8057,12.8076
106.000,0.00,0.000,0.089,12.8088,98.6915,98.8104,93.6346,99.7729,12.8105
107.000,0.00,0.000,0.205,12.8129,98.6915,98.8104,93.9310,99.8401,12.8138
108.000,0.00,0.000,0.241,12.8193,98.6915,98.8104,94.0880,99.8389,12.8161
109.000,0.00,0.000,0.201,12.8373,98.6915,98.8104,94.3962,99.8974,12.8211
