time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
68.000,32.00,20.100,20.095,12.3943,99.0761,99.0644,97.4726,101.0000,12.3606
69.000,32.00,20.100,20.290,12.3944,99.0487,99.0361,97.4443,101.0000,12.3792
70.000,32.00,20.100,20.162,12.3865,99.0212,99.0078,97.4160,101.0000,12.3844
71.000,32.00,20.100,20.214,12.3806,98.9938,98.9796,97.3878,100.6553,12.3746
72.000,32.00,20.100,20.131,12.3538,98.9664,98.9514,97.3596,100.4980,12.3712
73.000,32.00,20.100,20.319,12.3550,98.9390,98.9232,97.3314,100.3891,12.3655
74.000,32.00,20.100,20.141,12.3702,98.9116,98.8950,97.3032,100.7145,12.3757
75.000,32.00,20.100,20.356,12.3471,98.8842,98.8668,97.2750,100.5285,12.3676
76.000,32.00,20.100,20.155,12.3808,98.8567,98.8385,97.2467,100.4467,12.3679
77.000,32.00,20.100,20.199,12.3778,98.8293,98.8103,97.2185,100.5430,12.3696
78.000,32.00,20.100,20.257,12.3620,98.8019,98.7820,97.1902,100.1507,12.3582
79.000,32.00,20.100,20.142,12.3391,98.7745,98.7538,97.1620,100.1320,12.3592
80.000,32.00,20.100,20.351,12.3617,98.7471,98.7255,97.1337,100.0655,12.3545
81.000,32.00,20.100,20.301,12.3543,98.7196,98.6973,97.1055,100.0172,12.3538
82.000,32.00,20.100,20.167,12.3386,98.6922,98.6690,97.0772,99.7129,12.3474
83.000,32.00,20.100,20.317,12.3380,98.6648,98.6408,97.0490,99.8770,12.3499
84.000,32.00,20.100,20.153,12.3630,98.6374,98.6126,97.0208,99.7183,12.3479
85.000,32.00,-28.178,-28.030,13.0207,98.6103,98.5847,96.9929,99.9393,13.0048
86.000,29.09,-26.129,-25.949,12.9992,98.6481,98.6222,97.0304,100.1684,13.0069
87.000,26.18,-23.934,-23.758,13.0022,98.6828,98.6568,97.0650,100.1292,12.9981
88.000,23.27,-21.607,-21.365,12.9981,98.7144,98.6883,97.0965,100.3535,12.9920
89.000,20.36,-19.163,-19.156,12.9873,98.7428,98.7165,97.1247,100.1123,12.9732
90.000,17.45,-16.616,-16.461,12.9473,98.7676,98.7411,97.1494,100.2204,12.9558
91.000,14.55,-13.981,-13.915,12.9375,98.7889,98.7622,97.1705,100.2061,12.9350
92.000,11.64,-11.273,-11.018,12.9240,98.8064,98.7796,97.1878,100.1652,12.9068
93.000,8.73,-8.506,-8.504,12.8853,98.8201,98.7931,97.2013,100.2311,12.8851
94.000,5.82,-5.695,-5.595,12.8365,98.8300,98.8029,97.2111,99.9288,12.8455
95.000,2.91,-2.855,-2.671,12.8149,98.8359,98.8086,97.2168,100.2014,12.8206
96.000,0.00,0.000,0.272,12.7846,98.8379,98.8104,93.5169,100.0544,12.7815
97.000,0.00,0.000,0.203,12.7818,98.8379,98.8104,92.0849,100.0825,12.7873
98.000,0.00,0.000,0.273,12.7808,98.8379,98.8104,92.0144,99.9891,12.7875
99.000,0.00,0.000,0.074,12.7965,98.8379,98.8104,92.3627,100.0545,12.7959
100.000,0.00,0.000,0.028,12.7905,98.8379,98.8104,92.6516,100.0373,12.7996
101.000,0.00,0.000,0.231,12.8164,98.8379,98.8104,92.8385,100.0165,12.7997
102.000,0.00,0.000,0.183,12.8049,98.8379,98.8104,93.1509,100.0328,12.8041
103.000,0.00,0.000,0.032,12.7886,98.8379,98.8104,93.0126,99.8265,12.8032
104.000,0.00,0.000,0.007,12.8070,98.8379,98.8104,93.4533,99.9429,12.8102
105.000,0.00,0.000,0.157,12.8115,98.8379,98.8104,93.5422,99.8841,12.8095
106.000,0.00,0.000,0.089,12.8107,98.8379,98.8104,93.7809,99.8524,12.8123
107.000,0.00,0.000,0.205,12.8148,98.8379,98.8104,94.0773,99.9207,12.8156
108.000,0.00,0.000,0.241,12.8212,98.8379,98.8104,94.2344,99.9206,12.8179
109.000,0.00,0.000,0.201,12.8392,98.8379,98.8104,94.5426,99.9801,12.8229
110.000,0.00,0.000,0.097,12.8350,98.8379,98.8104,94.7551,99.9354,12.8254
111.000,0.00,0.000,-0.012,12.8369,98.8379,98.8104,95.0743,99.9817,12.8307
112.000,0.00,0.000,0.014,12.8399,98.8379,98.8104,95.3048,100.0351,12.8343
113.000,0.00,0.000,0.134,12.8312,98.8379,98.8104,95.0204,99.7734,12.8267
114.000,0.00,0.000,0.168,12.8148,98.8379,98.8104,95.3210,99.8611,12.8311
115.000,0.00,0.000,0.128,12.8367,98.8379,98.8104,95.6864,99.9294,12.8358
116.000,0.00,0.000,0.259,12.8499,98.8379,98.8104,95.9122,100.0460,12.8397
117.000,0.00,0.000,0.178,12.8194,98.8379,98.8104,95.6320,99.7600,12.8337
118.000,2.50,6.134,6.243,12.7407,98.8336,98.8060,95.2263,99.5916,12.7469
119.000,5.00,12.286,12.305,12.6802,98.8208,98.7930,95.2132,99.8112,12.6693
120.000,7.50,18.475,18.735,12.5887,98.7994,98.7714,95.1916,99.5848,12.5697
121.000,10.00,24.718,24.822,12.4886,98.7694,98.7412,95.1614,99.6165,12.4801
122.000,12.50,31.035,31.213,12.3795,98.7307,98.7022,95.1225,99.4136,12.3762
123.000,15.00,29.164,29.273,12.3768,98.6832,98.6545,95.0748,99.2481,12.3833
124.000,16.82,32.889,32.939,12.3248,98.6401,98.6112,95.0315,99.3155,12.3242
125.000,18.64,36.678,36.809,12.2562,98.5918,98.5628,94.9830,99.1109,12.2523
126.000,20.45,40.539,40.725,12.1683,98.5381,98.5090,94.9293,98.9084,12.1786
127.000,22.27,44.480,44.572,12.1206,98.4791,98.4498,94.8701,99.0053,12.1141
