time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
68.000,32.00,20.100,20.095,12.3943,99.0761,74.0644,97.4726,100.6965,12.3903
69.000,32.00,20.100,20.290,12.3944,99.0487,74.0361,97.4443,100.6220,12.3848
70.000,32.00,20.100,20.162,12.3865,99.0212,74.0078,97.4160,100.6066,12.3852
71.000,32.00,20.100,20.214,12.3806,98.9938,73.9796,97.3878,100.2463,12.3745
72.000,32.00,20.100,20.131,12.3538,98.9664,73.9514,97.3596,100.0987,12.3711
73.000,32.00,20.100,20.319,12.3550,98.9390,73.9232,97.3314,99.9992,12.3654
74.000,32.00,20.100,20.141,12.3702,98.9116,73.8950,97.3032,100.3248,12.3756
75.000,32.00,20.100,20.356,12.3471,98.8842,73.8668,97.2750,100.1494,12.3676
76.000,32.00,20.100,20.155,12.3808,98.8567,73.8385,97.2467,100.0758,12.3678
77.000,32.00,20.100,20.199,12.3778,98.8293,73.8103,97.2185,100.1768,12.3695
78.000,32.00,20.100,20.257,12.3620,98.8019,73.7820,97.1902,99.7980,12.3582
79.000,32.00,20.100,20.142,12.3391,98.7745,73.7538,97.1620,99.7858,12.3592
80.000,32.00,20.100,20.351,12.3617,98.7471,73.7255,97.1337,99.7265,12.3544
81.000,32.00,20.100,20.301,12.3543,98.7196,73.6973,97.1055,99.6849,12.3538
82.000,32.00,20.100,20.167,12.3386,98.6922,73.6690,97.0772,99.3910,12.3474
83.000,32.00,20.100,20.317,12.3380,98.6648,73.6408,97.0490,99.5578,12.3499
84.000,32.00,20.100,20.153,12.3630,98.6374,73.6126,97.0208,99.4068,12.3479
85.000,32.00,-28.178,-28.030,13.0207,98.6103,73.5847,96.9929,99.6297,13.0047
86.000,29.09,-26.129,-25.949,12.9992,98.6481,73.6222,97.0304,99.8616,13.0069
87.000,26.18,-23.934,-23.758,13.0022,98.6828,73.6568,97.0650,99.8289,12.9981
88.000,23.27,-21.607,-21.365,12.9981,98.7144,73.6883,97.0965,100.0559,12.9919
89.000,20.36,-19.163,-19.156,12.9873,98.7428,73.7165,97.1247,99.8234,12.9731
90.000,17.45,-16.616,-16.461,12.9473,98.7676,73.7411,97.1494,99.9354,12.9558
91.000,14.55,-13.981,-13.915,12.9375,98.7889,73.7622,97.1705,99.9266,12.9350
92.000,11.64,-11.273,-11.018,12.9240,98.8064,73.7796,97.1878,99.8911,12.9068
93.000,8.73,-8.506,-8.504,12.8853,98.8201,73.7931,97.2013,99.9613,12.8850
94.000,5.82,-5.695,-5.595,12.8365,98.8300,73.8029,97.2111,99.6670,12.8454
95.000,2.91,-2.855,-2.671,12.8149,98.8359,73.8086,97.2168,99.9410,12.8205
96.000,0.00,0.000,0.272,12.7846,98.8379,73.8104,93.5169,99.8001,12.7814
97.000,0.00,0.000,0.203,12.7818,98.8379,73.8104,92.0849,99.8322,12.7872
98.000,0.00,0.000,0.273,12.7808,98.8379,73.8104,92.0144,99.7439,12.7874
99.000,0.00,0.000,0.074,12.7965,98.8379,73.8104,92.3627,99.8128,12.7958
100.000,0.00,0.000,0.028,12.7905,98.8379,73.8104,92.6516,99.7998,12.7995
101.000,0.00,0.000,0.231,12.8164,98.8379,73.8104,92.8385,99.7830,12.7996
102.000,0.00,0.000,0.183,12.8049,98.8379,73.8104,93.1509,99.8030,12.8041
103.000,0.00,0.000,0.032,12.7886,98.8379,73.8104,93.0126,99.6023,12.8032
104.000,0.00,0.000,0.007,12.8070,98.8379,73.8104,93.4533,99.7214,12.8102
105.000,0.00,0.000,0.157,12.8115,98.8379,73.8104,93.5422,99.6667,12.8094
106.000,0.00,0.000,0.089,12.8107,98.8379,73.8104,93.7809,99.6388,12.8123
107.000,0.00,0.000,0.205,12.8148,98.8379,73.8104,94.0773,99.7100,12.8156
108.000,0.00,0.000,0.241,12.8212,98.8379,73.8104,94.2344,99.7133,12.8179
109.000,0.00,0.000,0.201,12.8392,98.8379,73.8104,94.5426,99.7758,12.8229
110.000,0.00,0.000,0.097,12.8350,98.8379,73.8104,94.7551,99.7346,12.8253
111.000,0.00,0.000,-0.012,12.8369,98.8379,73.8104,95.0743,99.7839,12.8306
112.000,0.00,0.000,0.014,12.8399,98.8379,73.8104,95.3048,99.8402,12.8342
113.000,0.00,0.000,0.134,12.8312,98.8379,73.8104,95.0204,99.5832,12.8267
114.000,0.00,0.000,0.168,12.8148,98.8379,73.8104,95.3210,99.6734,12.8311
